Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
1980;05;30;00:00:00;44389.00;-4.54835326E+00;-9.97789515E+00;5.00411254E-04;-1.38685498E+01;-1.42818822E+01;8.47453443E-03
1980;05;31;00:00:00;44390.00;-1.52648192E+00;-8.35594445E+00;-7.55787049E-04;-1.16455688E+01;-8.85478615E+00;2.20353925E-02
1980;06;01;00:00:00;44391.00;4.44198756E+00;-1.26852724E+01;-4.46746065E-03;-1.29599403E+01;-1.35563710E+01;1.47541193E-02
1980;06;02;00:00:00;44392.00;1.65085000E+00;-1.49263919E+01;-2.07732205E-03;-3.50565901E+00;-1.37988071E+01;1.12426896E-02
1980;06;03;00:00:00;44393.00;1.96955229E+00;-1.71102404E+01;1.35751975E-03;-3.30601361E+00;-5.05184245E+00;2.02243684E-02
1980;06;04;00:00:00;44394.00;2.71307416E+00;-2.73674957E+01;1.08440129E-02;3.98500119E+00;-3.79112467E+00;3.13523056E-02
1980;06;05;00:00:00;44395.00;-6.05131554E+00;-2.78535128E+01;1.28442437E-02;-1.52105018E+00;-1.17801293E+01;3.33323740E-02
1980;06;06;00:00:00;44396.00;-1.45267562E+01;-2.36103099E+01;1.19649038E-02;5.60135452E+00;-2.03408674E+00;2.57089116E-02
1980;06;07;00:00:00;44397.00;-1.85088943E+01;-2.69895029E+01;5.30171475E-03;-9.94113919E+00;-1.26710431E+01;1.20649984E-02
1980;06;08;00:00:00;44398.00;-2.17026049E+01;-2.31323471E+01;-4.41485995E-03;-6.31436479E+00;-9.62983438E+00;1.05906461E-02
1980;06;09;00:00:00;44399.00;-1.73632718E+01;-1.90818976E+01;-1.01311208E-02;-9.05918041E+00;-7.47831732E+00;1.51272416E-03
1980;06;10;00:00:00;44400.00;-1.78221729E+01;-1.96783063E+01;-9.58930055E-03;5.80814240E+00;-7.62811645E+00;-2.20627854E-04
1980;06;11;00:00:00;44401.00;-1.27073020E+01;-1.52817639E+01;-9.75934315E-03;1.45829669E+01;-9.10951172E+00;2.40230643E-03
1980;06;12;00:00:00;44402.00;-1.37283231E+01;-1.16036945E+01;-6.73985925E-03;-1.93704745E+00;-1.31160247E+01;8.11659855E-03
1980;06;13;00:00:00;44403.00;-1.70774099E+01;-7.59056963E+00;-7.38175605E-03;6.26520951E+00;-6.84858247E+00;1.24505227E-02
1980;06;14;00:00:00;44404.00;-1.58133501E+01;-5.83711697E+00;-6.23555535E-03;5.13472888E+00;-4.36768502E+00;8.90080963E-03
1980;06;15;00:00:00;44405.00;-1.23131544E+01;-6.66880200E+00;-1.16259985E-03;4.57140461E-01;2.88269653E-01;1.34185927E-02
1980;06;16;00:00:00;44406.00;-6.29048476E+00;-1.26097288E+01;5.98520652E-04;-2.80312530E+00;-1.71757665E+00;9.97609271E-03
